requisito;titulo;origem;spec;linha;r4_diretos;status
R2-ADM-05;Produtos agregados e compostos;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;101;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-06;Provedores, vínculos e saúde de integração;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;125;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-07;Contratos técnicos e políticas temporais;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;149;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-08;Busca e timeline operacional de protocolos;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;173;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-09;Entregas e reprocessamento com segurança de efeito;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;197;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-10;SLA bilateral e painéis operacionais consultáveis;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;221;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-11;Financeiro de compra, venda e conciliação;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;245;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-ADM-12;Qualidade de uso, acessibilidade e integração real;R2;openspec/changes/r2-05-console-administrativo/specs/console-administrativo-operavel/spec.md;269;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-FIN-01;Compra, venda e incidência por snapshot;R2;openspec/changes/r2-06-financeiro-auditavel/specs/financeiro-auditavel-e-conciliacao/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-FIN-02;Medição exata e deduplicação econômica;R2;openspec/changes/r2-06-financeiro-auditavel/specs/financeiro-auditavel-e-conciliacao/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-FIN-03;Saldo estrito e retenção de incerteza;R2;openspec/changes/r2-06-financeiro-auditavel/specs/financeiro-auditavel-e-conciliacao/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-FIN-04;Planos, franquias e política de produto;R2;openspec/changes/r2-06-financeiro-auditavel/specs/financeiro-auditavel-e-conciliacao/spec.md;83;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-FIN-05;Ledger imutável e ajustes compensatórios;R2;openspec/changes/r2-06-financeiro-auditavel/specs/financeiro-auditavel-e-conciliacao/spec.md;107;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-FIN-06;Fechamento, reconciliação e integração financeira;R2;openspec/changes/r2-06-financeiro-auditavel/specs/financeiro-auditavel-e-conciliacao/spec.md;131;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-DAD-01;Upload direto e referência imutável por tenant;R2;openspec/changes/r2-07-objetos-dados-e-retencao/specs/objetos-dados-e-retencao/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-DAD-02;Custódia de resultado volumoso;R2;openspec/changes/r2-07-objetos-dados-e-retencao/specs/objetos-dados-e-retencao/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-DAD-03;Retenção por classe e obrigações abertas;R2;openspec/changes/r2-07-objetos-dados-e-retencao/specs/objetos-dados-e-retencao/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-DAD-04;Propriedade, RLS e continuidade de leitura;R2;openspec/changes/r2-07-objetos-dados-e-retencao/specs/objetos-dados-e-retencao/spec.md;77;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-DAD-05;Restauração reconciliada sem duplicar efeito;R2;openspec/changes/r2-07-objetos-dados-e-retencao/specs/objetos-dados-e-retencao/spec.md;101;R4-OPE-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-01;Plataforma local completa e persistente;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-02;Kubernetes e cinco ambientes coerentes;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-03;Probes por capacidade e drenagem;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-04;Escala de pods, nós e dados sem chamados rotineiros;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;77;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-05;Placement, fencing e recursos por ambiente e célula;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;101;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-06;Fallback seletivo e dependências mínimas;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;125;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-07;Telemetria e SLA com investigação acionável;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;149;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-08;Segurança e reprodutibilidade de infraestrutura;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;173;R4-OPE-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-OPE-09;SLO, isolamento e continuidade qualificados;R2;openspec/changes/r2-08-operacao-elastica-e-observavel/specs/operacao-elastica-e-observavel/spec.md;197;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-QUA-01;Rastreabilidade do alvo até evidência;R2;openspec/changes/r2-09-qualificacao-e-rastreabilidade/specs/qualificacao-integrada-r2/spec.md;5;R4-QUA-01;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-QUA-02;Fixtures e oráculos independentes reproduzíveis;R2;openspec/changes/r2-09-qualificacao-e-rastreabilidade/specs/qualificacao-integrada-r2/spec.md;29;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-QUA-03;Gates de contrato, experiência e operação;R2;openspec/changes/r2-09-qualificacao-e-rastreabilidade/specs/qualificacao-integrada-r2/spec.md;53;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R2-QUA-04;Evolução OpenSpec e baseline sem falso arquivamento;R2;openspec/changes/r2-09-qualificacao-e-rastreabilidade/specs/qualificacao-integrada-r2/spec.md;77;R4-QUA-01;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-EXE-01;Adapters executáveis e autenticação completa;R3;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;5;R4-CBK-04;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-EXE-02;Callback com confirmação de custódia;R3;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;23;R4-CBK-01,R4-CBK-02,R4-CBK-03,R4-CBK-04;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-EXE-03;Recuperação de efeito incerto e fencing;R3;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;41;R4-CBK-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-EXE-04;Relógios de retry, polling e prazo final;R3;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;59;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-EXE-05;Topologia de mensagens e quarentena recuperável;R3;openspec/changes/r3-01-custodia-e-integracao-externa/specs/01-custodia-e-integracao-externa/spec.md;77;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-CAT-01;Precisão numérica e validação de schemas;R3;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;5;R4-CTR-01,R4-CTR-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-CAT-02;Política efetiva e representação por cliente;R3;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;23;R4-CBK-04;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-CAT-03;Agregação e composição com executor de DAG;R3;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;41;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-CAT-04;Resolução indexada e projeção disponível;R3;openspec/changes/r3-02-portfolio-e-contratos-efetivos/specs/02-portfolio-e-contratos-efetivos/spec.md;59;R4-OPE-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-INT-01;Controle adaptativo conectado a todo I/O;R3;openspec/changes/r3-03-capacidade-credenciais-e-latencia/specs/03-capacidade-credenciais-e-latencia/spec.md;5;R4-CBK-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-INT-02;Cache de autenticação isolado e sem tokens no Redis;R3;openspec/changes/r3-03-capacidade-credenciais-e-latencia/specs/03-capacidade-credenciais-e-latencia/spec.md;23;R4-OPE-01;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-INT-03;Pools HTTP e budgets de concorrência;R3;openspec/changes/r3-03-capacidade-credenciais-e-latencia/specs/03-capacidade-credenciais-e-latencia/spec.md;41;R4-OPE-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-ADM-01;Fronteira administrativa e aplicação;R3;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-ADM-02;Ações operacionais com API efetiva;R3;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;23;R4-QUA-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-ADM-03;Comandos financeiros compatíveis;R3;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;41;R4-QUA-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-ADM-04;Formulários completos e tempo local;R3;openspec/changes/r3-04-console-e-autorizacao/specs/04-console-e-autorizacao/spec.md;59;R4-QUA-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-FIN-01;Reserva estrita e franquia antes do efeito;R3;openspec/changes/r3-05-financeiro-e-entregas/specs/05-financeiro-e-entregas/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-FIN-02;Incidência completa e fechamento operacional;R3;openspec/changes/r3-05-financeiro-e-entregas/specs/05-financeiro-e-entregas/spec.md;23;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-FIN-03;Destino de webhook congelado por aplicação;R3;openspec/changes/r3-05-financeiro-e-entregas/specs/05-financeiro-e-entregas/spec.md;41;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-OPE-01;Objetos conectados ao fluxo e retenção;R3;openspec/changes/r3-06-dados-plataforma-e-continuidade/specs/06-dados-plataforma-e-continuidade/spec.md;5;;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-OPE-02;Kind completo e ambientes reprodutíveis;R3;openspec/changes/r3-06-dados-plataforma-e-continuidade/specs/06-dados-plataforma-e-continuidade/spec.md;23;R4-OPE-02,R4-QUA-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-OPE-03;Escala e continuidade com envelope;R3;openspec/changes/r3-06-dados-plataforma-e-continuidade/specs/06-dados-plataforma-e-continuidade/spec.md;41;R4-QUA-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-OPE-04;Autoridade durável, isolamento e restore;R3;openspec/changes/r3-06-dados-plataforma-e-continuidade/specs/06-dados-plataforma-e-continuidade/spec.md;59;R4-CBK-02,R4-OPE-01,R4-OPE-02;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-OPE-05;SLA bilateral e telemetria verificável;R3;openspec/changes/r3-06-dados-plataforma-e-continuidade/specs/06-dados-plataforma-e-continuidade/spec.md;77;R4-QUA-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
R3-QUA-01;Qualificação integral do SHA sem skips ocultos;R3;openspec/changes/r3-07-qualificacao-integral/specs/07-qualificacao-integral/spec.md;5;R4-QUA-01,R4-QUA-02,R4-QUA-03;NAO_QUALIFICADO_INTEGRALMENTE_NESTA_REVISAO
