cenario;requisito;titulo;comando;ambiente;resultado;evidencia;observacao
R3-FIN-03-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-01-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-01-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-01-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-02-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-02-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-02-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-03-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-03-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-INT-03-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-01-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-01-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-01-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-02-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-02-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-02-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-03-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-03-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-03-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-04-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-04-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-04-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-05-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-05-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-OPE-05-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-QUA-01-S01;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-QUA-01-S02;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
R3-QUA-01-S03;R3;R3;pendente;não executado;PENDENTE;PENDENTE;
