requisito;titulo;origem;tarefas;situacao;evidencia;observacao
R2-INT-01;Adapter executável homologado por capacidade;r2-03-integracoes-credenciais-e-pressao;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-INT-02;Credencial efetiva vinculada ao cliente e à conta;r2-03-integracoes-credenciais-e-pressao;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-INT-03;Segredos reais e cache dispensável;r2-03-integracoes-credenciais-e-pressao;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-INT-04;Polling e callback combináveis e coordenados;r2-03-integracoes-credenciais-e-pressao;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-INT-05;Janela absoluta de retry e classificação de falha;r2-03-integracoes-credenciais-e-pressao;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-INT-06;Controle adaptativo global por domínio de capacidade;r2-03-integracoes-credenciais-e-pressao;2.6 / 3.6;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-INT-07;Entrega ao cliente com identidade e política próprias;r2-03-integracoes-credenciais-e-pressao;2.7 / 3.7;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-INT-08;SLA do provedor separado de SLA do cliente;r2-03-integracoes-credenciais-e-pressao;2.8 / 3.8;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-01;Catálogo versionado com publicação governada;r2-04-catalogo-produtos-e-contratos;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-02;Ofertas por cliente e roteamento autorizado;r2-04-catalogo-produtos-e-contratos;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-03;Agregação paralela limitada;r2-04-catalogo-produtos-e-contratos;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-04;Composição por DAG e compensações;r2-04-catalogo-produtos-e-contratos;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-05;Perfis técnicos de entrada e saída por cliente;r2-04-catalogo-produtos-e-contratos;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-06;Snapshot e projeções independentes de consulta por pedido;r2-04-catalogo-produtos-e-contratos;2.6 / 3.6;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-07;Importação segura e inventário executável distinto;r2-04-catalogo-produtos-e-contratos;2.7 / 3.7;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-CAT-08;Consulta administrativa persistente e onboarding;r2-04-catalogo-produtos-e-contratos;2.8 / 3.8;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-01;Sessão, contexto e navegação administrativa;r2-05-console-administrativo;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-02;Listagens reais e detalhe editável;r2-05-console-administrativo;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-03;Clientes, aplicações e ofertas contratadas;r2-05-console-administrativo;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-04;Catálogo importado e serviços executáveis;r2-05-console-administrativo;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-05;Produtos agregados e compostos;r2-05-console-administrativo;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-06;Provedores, vínculos e saúde de integração;r2-05-console-administrativo;2.6 / 3.6;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-07;Contratos técnicos e políticas temporais;r2-05-console-administrativo;2.7 / 3.7;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-08;Busca e timeline operacional de protocolos;r2-05-console-administrativo;2.8 / 3.8;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-09;Entregas e reprocessamento com segurança de efeito;r2-05-console-administrativo;2.9 / 3.9;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-10;SLA bilateral e painéis operacionais consultáveis;r2-05-console-administrativo;2.10 / 3.10;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-11;Financeiro de compra, venda e conciliação;r2-05-console-administrativo;2.11 / 3.11;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-ADM-12;Qualidade de uso, acessibilidade e integração real;r2-05-console-administrativo;2.12 / 3.12;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-FIN-01;Compra, venda e incidência por snapshot;r2-06-financeiro-auditavel;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-FIN-02;Medição exata e deduplicação econômica;r2-06-financeiro-auditavel;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-FIN-03;Saldo estrito e retenção de incerteza;r2-06-financeiro-auditavel;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-FIN-04;Planos, franquias e política de produto;r2-06-financeiro-auditavel;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-FIN-05;Ledger imutável e ajustes compensatórios;r2-06-financeiro-auditavel;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-FIN-06;Fechamento, reconciliação e integração financeira;r2-06-financeiro-auditavel;2.6 / 3.6;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-DAD-01;Upload direto e referência imutável por tenant;r2-07-objetos-dados-e-retencao;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-DAD-02;Custódia de resultado volumoso;r2-07-objetos-dados-e-retencao;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-DAD-03;Retenção por classe e obrigações abertas;r2-07-objetos-dados-e-retencao;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-DAD-04;Propriedade, RLS e continuidade de leitura;r2-07-objetos-dados-e-retencao;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-DAD-05;Restauração reconciliada sem duplicar efeito;r2-07-objetos-dados-e-retencao;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-01;Plataforma local completa e persistente;r2-08-operacao-elastica-e-observavel;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-02;Kubernetes e cinco ambientes coerentes;r2-08-operacao-elastica-e-observavel;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-03;Probes por capacidade e drenagem;r2-08-operacao-elastica-e-observavel;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-04;Escala de pods, nós e dados sem chamados rotineiros;r2-08-operacao-elastica-e-observavel;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-05;Placement, fencing e recursos por ambiente e célula;r2-08-operacao-elastica-e-observavel;2.5 / 3.5;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-06;Fallback seletivo e dependências mínimas;r2-08-operacao-elastica-e-observavel;2.6 / 3.6;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-07;Telemetria e SLA com investigação acionável;r2-08-operacao-elastica-e-observavel;2.7 / 3.7;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-08;Segurança e reprodutibilidade de infraestrutura;r2-08-operacao-elastica-e-observavel;2.8 / 3.8;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-OPE-09;SLO, isolamento e continuidade qualificados;r2-08-operacao-elastica-e-observavel;2.9 / 3.9;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-QUA-01;Rastreabilidade do alvo até evidência;r2-09-qualificacao-e-rastreabilidade;2.1 / 3.1;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-QUA-02;Fixtures e oráculos independentes reproduzíveis;r2-09-qualificacao-e-rastreabilidade;2.2 / 3.2;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-QUA-03;Gates de contrato, experiência e operação;r2-09-qualificacao-e-rastreabilidade;2.3 / 3.3;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R2-QUA-04;Evolução OpenSpec e baseline sem falso arquivamento;r2-09-qualificacao-e-rastreabilidade;2.4 / 3.4;EM_IMPLEMENTACAO;;Nenhuma conclusão integral inferida de teste parcial
R3-EXE-01;R3-EXE-01;r3;hub/internal/atlasclient/client.go";PENDENTE;;hub/internal/cometa/poller.go
R3-EXE-02;R3-EXE-02;r3;hub/cmd/cometa/main.go";PENDENTE;;hub/internal/cometa/executor.go
R3-EXE-03;R3-EXE-03;r3;hub/internal/orbita/intents.go";PENDENTE;;hub/internal/cometa/executor.go
R3-EXE-04;R3-EXE-04;r3;hub/internal/orbita/finalize.go;PENDENTE;;hub/internal/cometa/polling_custody.go
R3-EXE-05;R3-EXE-05;r3;hub/internal/libra/consumers.go;PENDENTE;;hub/internal/queue/queue.go
R3-CAT-01;R3-CAT-01;r3;R3-CAT-01-S01,R3-CAT-01-S02,R3-CAT-01-S03;IMPLEMENTACAO_PARCIAL;hub/internal/atlas/offers.go:TransformJSON;Precisão, enum e additionalProperties têm regressão unitária; cenários integrados e limites de custo ainda pendentes
R3-CAT-02;R3-CAT-02;r3;hub/internal/atlas/offers.go";PENDENTE;;hub/internal/orbita/finalize.go
R3-CAT-03;R3-CAT-03;r3;hub/internal/atlas/offers.go";PENDENTE;;hub/internal/atlas/catalog.go
R3-CAT-04;R3-CAT-04;r3;hub/internal/atlas/catalog.go";PENDENTE;;hub/internal/atlasclient/client.go
R3-INT-01;R3-INT-01;r3;hub/internal/cometa/poller.go";PENDENTE;;hub/internal/cometa/executor.go
R3-INT-02;R3-INT-02;r3;3.1/.2/.3;PENDENTE;;R3-INT-02-S01,R3-INT-02-S02,R3-INT-02-S03
R3-INT-03;R3-INT-03;r3;hub/internal/cometa/poller.go;PENDENTE;;hub/internal/cometa/executor.go
R3-ADM-01;R3-ADM-01;r3;R3-ADM-01-S01,R3-ADM-01-S02,R3-ADM-01-S03;PENDENTE;;hub/internal/platform/auth/auth.go"
R3-ADM-02;R3-ADM-02;r3;hub/internal/orbita/admin.go";PENDENTE;;hub/internal/pulsar/handlers.go
R3-ADM-03;R3-ADM-03;r3;R3-ADM-03-S01,R3-ADM-03-S02,R3-ADM-03-S03;PENDENTE;;hub/internal/libra/handlers.go"
R3-ADM-04;R3-ADM-04;r3;R3-ADM-04-S01,R3-ADM-04-S02,R3-ADM-04-S03;PENDENTE;;hub/admin-ui/src"
R3-FIN-01;R3-FIN-01;r3;hub/internal/contracts/economics/publication.go";PENDENTE;;hub/internal/orbita/handlers.go
R3-FIN-02;R3-FIN-02;r3;hub/internal/libra/store.go;PENDENTE;;hub/internal/cometa/polling_custody.go
R3-FIN-03;R3-FIN-03;r3;hub/internal/pulsar/handlers.go";PENDENTE;;hub/internal/orbita/finalize.go
R3-OPE-01;R3-OPE-01;r3;hub/internal/cometa/executor.go;PENDENTE;;hub/internal/objectstore/retention.go
R3-OPE-02;R3-OPE-02;r3;hub/deploy/r2/k8s/overlays/prd/kustomization.yaml";PENDENTE;;hub/deploy/r2/k8s/base/workloads.yaml
R3-OPE-03;R3-OPE-03;r3;R3-OPE-03-S01,R3-OPE-03-S02,R3-OPE-03-S03;PENDENTE;;hub/internal/platform/httpserver"
R3-OPE-04;R3-OPE-04;r3;hub/internal/platform/pg;PENDENTE;;hub/migrations/control
R3-OPE-05;R3-OPE-05;r3;hub/deploy/r2";PENDENTE;;hub/admin-ui/src/pages/OperationsPage.tsx
R3-QUA-01;R3-QUA-01;r3;docs/reviews/2026-09-07-r2/implementation/FINAL_REPORT.md";PENDENTE;;hub/internal/cometa/custody_test.go
