cenario;requisito;change;nome;given;when;then;status;tarefa_implementacao;tarefa_prova
R2-CAT-08-S02;R2-CAT-08;r2-04-catalogo-produtos-e-contratos;Refresh e outro operador;cadastro foi salvo e publicado;outro operador abre sua URL após refresh;consulta fonte do servidor e visualiza mesma versão conforme permissão;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-CAT-08-S03;R2-CAT-08;r2-04-catalogo-produtos-e-contratos;Capacidade insuficiente;novo cliente excede headroom disponível;onboarding solicita colocação;"registra provisionamento automático e só ativa após qualificação; não aponta tráfego para célula incompleta";NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-ADM-01-S01;R2-ADM-01;r2-05-console-administrativo;Entrada autorizada;usuário tem papel de Operações e escopo A;abre diretamente URL de protocolo de A;após login retorna à rota permitida e vê ambiente/escopo e ações autorizadas;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-ADM-01-S02;R2-ADM-01;r2-05-console-administrativo;URL sem permissão;operador de A abre URL de B ou tela financeira sem papel;servidor avalia a sessão;exibe acesso negado sem dados, e ocultar menu não é o único controle;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-ADM-01-S03;R2-ADM-01;r2-05-console-administrativo;Logout;usuário visualizou dados restritos;sai e outro usuário entra no mesmo navegador;não reaparecem dados, filtros sensíveis ou permissões do anterior;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-ADM-02-S01;R2-ADM-02;r2-05-console-administrativo;Catálogo populoso;servidor tem mais registros que uma página;operador busca e avança cursor;filtro/ordenação se mantêm, volumes por página são limitados e refresh recompõe a consulta;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-ADM-02-S02;R2-ADM-02;r2-05-console-administrativo;Lista falha;API responde timeout após mostrar dados antigos;usuário solicita atualização;UI sinaliza erro e desatualização, oferece retry seguro e não apresenta lista vazia como ausência de registros;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-ADM-02-S03;R2-ADM-02;r2-05-console-administrativo;Conflito de edição;dois operadores editam uma mesma versão;segundo tenta salvar;UI apresenta conflito e diff/recarregamento sem sobrescrita silenciosa;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-ADM-03-S01;R2-ADM-03;r2-05-console-administrativo;Novo cliente;editor autorizado informa cliente, aplicações e oferta validada;solicita ativação;acompanha validação/placement até ativo sem ticket de capacidade dentro do envelope;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-ADM-03-S02;R2-ADM-03;r2-05-console-administrativo;Pendência visível;oferta não tem vínculo de credencial válido;operador tenta ativar;UI mostra bloqueio específico e link para corrigir o vínculo, sem sucesso fictício;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-ADM-03-S03;R2-ADM-03;r2-05-console-administrativo;Suspensão;cliente tem protocolos em andamento;operador suspende novas admissões;"confirma impacto e razão; timeline histórica continua acessível ao papel autorizado";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-ADM-04-S01;R2-ADM-04;r2-05-console-administrativo;Importação por preview;arquivo sanitizado contém endpoints existentes e novos;operador revisa o lote;vê diferenças e estados, sem exclusão global ou publicação automática;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-ADM-04-S02;R2-ADM-04;r2-05-console-administrativo;Serviço validado;adapter/schema/modo foram homologados;operador publica a versão;UI apresenta versão publicada imutável e qualificação usada;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-ADM-04-S03;R2-ADM-04;r2-05-console-administrativo;Sem adapter;endpoint importado ainda não pode executar;operador consulta catálogo;estado deixa claro que não está disponível para consumo;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-ADM-05-S01;R2-ADM-05;r2-05-console-administrativo;Editor de composição;produto possui A e B paralelos e C dependente;editor configura e simula;grafo/tabela e resultado de simulação mostram ordem, dependências e política de parcialidade;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-ADM-05-S02;R2-ADM-05;r2-05-console-administrativo;Ciclo detectado;dependência fecha ciclo;editor valida;UI identifica os passos envolvidos e bloqueia publicação;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-ADM-05-S03;R2-ADM-05;r2-05-console-administrativo;Simulação sem efeitos;usuário usa dados sintéticos;clica simular;"nenhuma chamada faturável real é feita; relatório identifica fixture e versões";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-ADM-06-S01;R2-ADM-06;r2-05-console-administrativo;Diagnóstico de binding;cliente dedicado está usando determinada conta;operador autorizado consulta resolução;vê binding/version/pagador elegíveis sem revelar token ou segredo e sem confundir conta com tenant;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-ADM-06-S02;R2-ADM-06;r2-05-console-administrativo;Rotação;gestor autorizado agenda nova versão;validação de conexão conclui;UI mostra estado e vigência, preservando histórico e não oferecendo leitura do segredo;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-ADM-06-S03;R2-ADM-06;r2-05-console-administrativo;Pressão reduzida;provedor responde timeouts;operador abre saúde da integração;vê limite efetivo, teto, latência, erro, backlog e motivo da redução, sem tratá-lo como limite fixo eterno;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-ADM-07-S01;R2-ADM-07;r2-05-console-administrativo;Contrato legado;cliente usa saída personalizada e polling mais callback;editor simula e publica perfil;UI exibe entrada/saída e prova de mesmo corpo final em GET/webhook;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-ADM-07-S02;R2-ADM-07;r2-05-console-administrativo;TTL versus SLA;retry_ttl_seconds excede prazo do cliente;editor salva configuração;"UI explica limite efetivo mínimo; nenhum preview sugere renovação do deadline";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-ADM-07-S03;R2-ADM-07;r2-05-console-administrativo;SYNC incompatível;SLA ou natureza do provedor não permite SYNC;editor tenta habilitar modalidade;relatório aponta incompatibilidade e bloqueia publicação;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-ADM-08-S01;R2-ADM-08;r2-05-console-administrativo;Diagnóstico completo;protocolo possui tentativas e resultado tardio;operador autorizado abre detalhe;timeline diferencia erro do cliente, final do provedor, custo e delivery e exibe causa de encerramento;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-ADM-08-S02;R2-ADM-08;r2-05-console-administrativo;Resultado custodiado;provedor está offline e final está no Hub;operador consulta o resultado;"nenhuma chamada ao provedor ocorre; resultado provém da versão materializada";NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-ADM-08-S03;R2-ADM-08;r2-05-console-administrativo;Filtro entre tenants;usuário sem papel global manipula filtros;solicita lista de outro cliente;API e UI não revelam protocolos alheios;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-ADM-09-S01;R2-ADM-09;r2-05-console-administrativo;Webhook esgotado;resultado final existe e delivery está EXHAUSTED;operador autorizado reentrega;cria ação auditada ligada à entrega e aos mesmos bytes sem chamada ao provedor;NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-ADM-09-S02;R2-ADM-09;r2-05-console-administrativo;UNKNOWN externo;não há prova de ausência de efeito;operador abre ações;UI permite diagnóstico/reconciliação elegível e explica por que novo submit está bloqueado;NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-ADM-09-S03;R2-ADM-09;r2-05-console-administrativo;Leitor administrativo;hub_protocol_reader abre protocolos de vários clientes;tenta comando de replay por chamada manual;"servidor nega; possuir leitura global não concede operação";NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-ADM-10-S01;R2-ADM-10;r2-05-console-administrativo;Apuração de quebra;coorte contém lentos ainda abertos e finais rápidos;analista filtra contrato/período;"denominador e estados impedem viés dos concluídos; atraso aparece com trilha do prazo";NAO_EXECUTADO_NESTA_ENTREGA;2.10;3.10
R2-ADM-10-S02;R2-ADM-10;r2-05-console-administrativo;Dados desatualizados;projeção operacional está atrasada;painel é aberto;mostra horário/watermark e atraso, não anuncia ausência de violações;NAO_EXECUTADO_NESTA_ENTREGA;2.10;3.10
R2-ADM-10-S03;R2-ADM-10;r2-05-console-administrativo;Consulta limitada;cliente/operador tem escopo A;exporta relatório de SLA;arquivo contém somente registros permitidos e exportação é auditada;NAO_EXECUTADO_NESTA_ENTREGA;2.10;3.10
R2-ADM-11-S01;R2-ADM-11;r2-05-console-administrativo;Extrato explicável;protocolo gerou receita, custo e reserva;analista abre origem dos valores;vê contrato/medidor/unidade, saldo antes/depois e lançamentos, distinguindo custo de cliente direto;NAO_EXECUTADO_NESTA_ENTREGA;2.11;3.11
R2-ADM-11-S02;R2-ADM-11;r2-05-console-administrativo;Fechamento incompleto;há fatos pendentes ou UNKNOWN financeiros;financeiro solicita fechamento;UI mostra bloqueios e não marca período como conciliado/exportado;NAO_EXECUTADO_NESTA_ENTREGA;2.11;3.11
R2-ADM-11-S03;R2-ADM-11;r2-05-console-administrativo;Estorno;usuário autorizado corrige cobrança;registra ajuste com razão e origem;"lançamento compensatório aparece no histórico; original não desaparece";NAO_EXECUTADO_NESTA_ENTREGA;2.11;3.11
R2-ADM-12-S01;R2-ADM-12;r2-05-console-administrativo;Teclado e erro;operador usa somente teclado e envia formulário inválido;validação falha;foco alcança resumo/primeiro erro, campos são identificados e dados preenchidos permanecem;NAO_EXECUTADO_NESTA_ENTREGA;2.12;3.12
R2-ADM-12-S02;R2-ADM-12;r2-05-console-administrativo;Falha de rede ou 409;editor perde rede ou versão ficou obsoleta;tenta salvar;recebe estado recuperável sem duplo envio, perda de entrada ou falso sucesso;NAO_EXECUTADO_NESTA_ENTREGA;2.12;3.12
R2-ADM-12-S03;R2-ADM-12;r2-05-console-administrativo;Jornada integrada;build passou e backend real de ensaio está disponível;QA cria, publica, consulta e revisita recurso após refresh;"estado persiste no servidor; evidência inclui papel, SHA, requests e screenshot sanitizado, não só renderização";NAO_EXECUTADO_NESTA_ENTREGA;2.12;3.12
R2-FIN-01-S01;R2-FIN-01;r2-06-financeiro-auditavel;Preço muda antes de consumir;pedido aceito em tarifa v1 e evento ainda está em fila;tarifa v2 é publicada antes da apuração;apuração usa v1 e conserva prova do snapshot;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-FIN-01-S02;R2-FIN-01;r2-06-financeiro-auditavel;Cliente paga diretamente;binding usa TENANT_DEDICATED com settlement_party=CLIENT_DIRECT;operação gera consumo;consumo é registrado, mas passivo do Hub só existe se contrato de compra o prevê;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-FIN-01-S03;R2-FIN-01;r2-06-financeiro-auditavel;Compra por submit;contrato prevê custo no aceite externo e venda por sucesso;protocolo depois falha/expira;custo e ausência de receita seguem marcos distintos, sem preço constante de simulador;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-FIN-02-S01;R2-FIN-02;r2-06-financeiro-auditavel;Dois passos custosos;produto chama duas operações faturáveis do mesmo provedor;fatos chegam em ordem inversa e duplicados;ambos custos elegíveis aparecem uma vez, sem colidir pela mesma chave de protocolo;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-FIN-02-S02;R2-FIN-02;r2-06-financeiro-auditavel;Polling tarifado;contrato cobra status/fetch e três tentativas elegíveis ocorreram;Libra apura;unidades e valores correspondem às três evidências, sem cobrar retransmissão da mensagem;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-FIN-02-S03;R2-FIN-02;r2-06-financeiro-auditavel;Precisão;fixture tem 0,1 + 0,2 e taxas com quatro casas;motor apura e exporta;resultado decimal é exato e arredondamento é único no marco contratado;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-FIN-03-S01;R2-FIN-03;r2-06-financeiro-auditavel;Limite cumulativo;fixture tem saldo 2,00 e cada execução consome 1,00;três execuções sequenciais são solicitadas após capturas;"apenas duas executam; terceira é negada antes de efeito externo";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-FIN-03-S02;R2-FIN-03;r2-06-financeiro-auditavel;Concorrência pelo último saldo;duas solicitações disputam 1,00 restante;reservas ocorrem simultaneamente;"apenas uma é concedida; moeda/tenant/valor fazem parte da validação";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-FIN-03-S03;R2-FIN-03;r2-06-financeiro-auditavel;Limite não configurado;contrato é estrito e não tem limite aprovado;pedido solicita reserva;"é recusado sem usar default alto; consulta de final existente continua";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-FIN-03-S04;R2-FIN-03;r2-06-financeiro-auditavel;Timeout com efeito incerto;protocolo expira e provedor pode cobrar;reserva é reconciliada;"hold permanece até evidência de cancelamento/ausência/custo; duplicata não libera nem captura duas vezes";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-FIN-04-S01;R2-FIN-04;r2-06-financeiro-auditavel;Faixa marginal;fixture aprovada define primeiras duas unidades a 1,00 e excedentes a 0,50;quatro unidades elegíveis são apuradas;"total é 3,00 na regra marginal; regra por volume não é inferida";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-FIN-04-S02;R2-FIN-04;r2-06-financeiro-auditavel;Pacote versus soma;produto A+B tem contrato de pacote 5,00 e custos independentes;ambos passos concluem;receita é 5,00 uma vez, custos conforme compra, sem somar venda dos componentes indevidamente;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-FIN-04-S03;R2-FIN-04;r2-06-financeiro-auditavel;Franquia final concorrente;resta uma unidade de franquia estrita;duas operações concorrentes consomem;uma usa franquia e a outra segue regra de excedente ou recusa explicitamente contratada;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-FIN-05-S01;R2-FIN-05;r2-06-financeiro-auditavel;Partidas balanceadas;fatos elegíveis foram deduplicados;apuração confirma lote;débitos e créditos se equilibram por moeda e cada lançamento aponta contrato/unidade/evidência;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-FIN-05-S02;R2-FIN-05;r2-06-financeiro-auditavel;Reprocessamento;mesmo fato e lote são apresentados novamente;motor tenta apurar;não há novos lançamentos nem alteração do valor original;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-FIN-05-S03;R2-FIN-05;r2-06-financeiro-auditavel;Estorno autorizado;cobrança incorreta precisa correção;usuário autorizado aprova ajuste;partidas compensatórias preservam original, razão e correlação;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-FIN-06-S01;R2-FIN-06;r2-06-financeiro-auditavel;Fato atrasado;watermark ou UNKNOWN financeiro indica pendência do período;operador solicita fechamento definitivo;lote fica bloqueado ou em exceção formal auditada, nunca silenciosamente completo;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-FIN-06-S02;R2-FIN-06;r2-06-financeiro-auditavel;Exportação repetida;lote fechado já foi exportado e recibo se perdeu;integração reenvia mesma identidade;"destino pode deduplicar; Hub mantém estado e checksum sem novo débito/pagamento";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-FIN-06-S03;R2-FIN-06;r2-06-financeiro-auditavel;Contestação de SLA;custo tardio está sendo contestado;financeiro revisa conciliação;valor, evidência, disputa e ajuste ficam separados da resposta final imutável do cliente;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-DAD-01-S01;R2-DAD-01;r2-07-objetos-dados-e-retencao;Arquivo elegível;cliente A concluiu upload e validação;submete pedido com file_ref;Hub verifica vínculo/versão/hash sem carregar arquivo inteiro na API;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-DAD-01-S02;R2-DAD-01;r2-07-objetos-dados-e-retencao;Objeto de outro cliente;A indica file_ref de B;admissão ou download é solicitado;acesso é negado indistinguivelmente de referência inexistente para A;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-DAD-01-S03;R2-DAD-01;r2-07-objetos-dados-e-retencao;Multipart incompleto;faltam partes ou checksum diverge;cliente pede confirmação do objeto;"referência não fica READY; sessão pode ser retomada/expirada conforme política";NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-DAD-02-S01;R2-DAD-02;r2-07-objetos-dados-e-retencao;Resultado grande;provedor entrega arquivo superior ao limite inline;conector conserva a resposta;streaming produz objeto validado e só então final aponta file_ref;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-DAD-02-S02;R2-DAD-02;r2-07-objetos-dados-e-retencao;S3 falha;resultado externo exige custódia em objeto;put ou verificação falha;"nenhum sucesso com link quebrado é emitido; obrigação de captura/reconciliação permanece";NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-DAD-02-S03;R2-DAD-02;r2-07-objetos-dados-e-retencao;Objeto sem commit do protocolo;upload final completou e commit posterior falhou;reconciliador executa;liga objeto somente à obrigação correta ou marca órfão para política segura, sem reexecutar provedor;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-DAD-03-S01;R2-DAD-03;r2-07-objetos-dados-e-retencao;Expurgo elegível;classe aprovada atingiu retenção e não há obrigação aberta;job executa após dry-run validado;expurgo é auditado e deixa metadado mínimo/tombstone permitido;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-DAD-03-S02;R2-DAD-03;r2-07-objetos-dados-e-retencao;Entrega pendente;resultado excedeu retenção padrão mas delivery/contestação precisa dele;job avalia elegibilidade;objeto/final permanece protegido ou migra segundo política contratada sem perder obrigação;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-DAD-03-S03;R2-DAD-03;r2-07-objetos-dados-e-retencao;Mensagem antiga;evento fora da janela tenta reaplicar efeito já encerrado;consumer recebe replay;tombstone/dedup impede novo efeito e produz diagnóstico;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-DAD-04-S01;R2-DAD-04;r2-07-objetos-dados-e-retencao;Writer indisponível com final válido;existe réplica/cache confiável do final e autorização vigente;cliente consulta;"recebe mesmo corpo/hash sem acessar provedor; novas admissões continuam exigindo writer";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-DAD-04-S02;R2-DAD-04;r2-07-objetos-dados-e-retencao;Réplica atrasada;réplica ainda não conhece protocolo recentemente aceito;GET tenta recuperar resultado;consulta autoridade quando disponível ou informa indisponibilidade/estado não confirmado, sem falso inexistente;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-DAD-04-S03;R2-DAD-04;r2-07-objetos-dados-e-retencao;Isolamento de domínio;usuário de Pulsar tenta escrever em saldo ou protocolo;banco avalia permissão;nega escrita fora da autoridade mesmo que aplicação tenha bug;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-DAD-05-S01;R2-DAD-05;r2-07-objetos-dados-e-retencao;Restore controlado;backup/PITR e versões de objetos estão disponíveis;ambiente isolado é restaurado;egress permanece bloqueado até confrontar comandos, fatos, saldos e referências;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-DAD-05-S02;R2-DAD-05;r2-07-objetos-dados-e-retencao;Operação após backup;provedor executou depois do ponto restaurado;sistema encontra lacuna histórica;"reconcilia com parceiro/idempotência; não reenfileira todos os pedidos do período";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-DAD-05-S03;R2-DAD-05;r2-07-objetos-dados-e-retencao;Falha regional;perfil contratado exige perda regional sem perda de fatos;topologia possui somente confirmação regional;perfil não é qualificado nem ativado até prova de custódia e fencing compatíveis;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-OPE-01-S01;R2-OPE-01;r2-08-operacao-elastica-e-observavel;Primeira instalação;máquina limpa possui pré-requisitos declarados;executa bootstrap documentado;UI e APIs autenticadas, broker/objetos e painéis ficam acessíveis com verificações de saúde;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-OPE-01-S02;R2-OPE-01;r2-08-operacao-elastica-e-observavel;Recriação sem reset;há protocolos e cadastros de ensaio persistidos;containers são recriados no procedimento normal;"dados e referências continuam consultáveis; reset destrutivo é ação separada explícita";NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-OPE-01-S03;R2-OPE-01;r2-08-operacao-elastica-e-observavel;Cache desligado;operador não habilita perfil Redis;sobe plataforma e executa jornada padrão;serviços não falham por dependência do cache opcional;NAO_EXECUTADO_NESTA_ENTREGA;2.1;3.1
R2-OPE-02-S01;R2-OPE-02;r2-08-operacao-elastica-e-observavel;Overlay aplicável;dependências e CRDs da versão fixada foram instalados;overlay de laboratório é renderizado e aplicado;pods ficam prontos, rotas funcionam e não há referência não resolvida;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-OPE-02-S02;R2-OPE-02;r2-08-operacao-elastica-e-observavel;Separação ambiental;mesmo tenant existe em dev e hom;configuração/credencial de dev tenta operar hom;"isolamento impede cruzamento; promoção não copia segredos entre ambientes";NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-OPE-02-S03;R2-OPE-02;r2-08-operacao-elastica-e-observavel;Produção sem perfil;P-01/P-08/P-10 relevantes não estão qualificados;pipeline tenta promover oferta crítica;gate bloqueia ativação e mostra pendências sem impedir desenvolvimento local;NAO_EXECUTADO_NESTA_ENTREGA;2.2;3.2
R2-OPE-03-S01;R2-OPE-03;r2-08-operacao-elastica-e-observavel;Dependência opcional falha;Redis ou telemetria fica indisponível;probes são avaliadas;workloads elegíveis continuam prontos e falha é observável sem cascata de reinícios;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-OPE-03-S02;R2-OPE-03;r2-08-operacao-elastica-e-observavel;Rolling update;há SYNC em voo, poll e delivery agendados;pod recebe SIGTERM;deixa de admitir, drena dentro do grace e conserva obrigação não concluída para takeover cercado;NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-OPE-03-S03;R2-OPE-03;r2-08-operacao-elastica-e-observavel;Provedor fora;um parceiro responde timeout;liveness e readiness geral são verificadas;"não reinicia todos os pods; circuito/quotas contêm apenas a capacidade afetada";NAO_EXECUTADO_NESTA_ENTREGA;2.3;3.3
R2-OPE-04-S01;R2-OPE-04;r2-08-operacao-elastica-e-observavel;Fila cresce com CPU baixa;trabalho I/O acumula e idade aumenta;scaler avalia métricas;réplicas sobem respeitando quota externa, conexões e reserva de capacidade;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-OPE-04-S02;R2-OPE-04;r2-08-operacao-elastica-e-observavel;Célula próxima do envelope;demanda prevista excede headroom antes do prazo de provisionamento;política de expansão atua;nova célula é criada/qualificada e placement muda para novas admissões sem ticket rotineiro;NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-OPE-04-S03;R2-OPE-04;r2-08-operacao-elastica-e-observavel;Quota esgotada;expansão cloud não consegue provisionar recurso autorizado;onboarding precisa de capacidade;"estado registra impedimento e novas admissões são limitadas; não rouba reserva de clientes existentes";NAO_EXECUTADO_NESTA_ENTREGA;2.4;3.4
R2-OPE-05-S01;R2-OPE-05;r2-08-operacao-elastica-e-observavel;Cliente realocado;protocolos antigos pertencem à célula A e novos à B;cliente consulta ambos por UUID;diretório autorizado resolve a origem correta sem busca em provedores ou vazamento entre tenants;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-OPE-05-S02;R2-OPE-05;r2-08-operacao-elastica-e-observavel;Dois ambientes/células;dev/hom e células A/B usam broker;eventos são publicados;namespaces e políticas impedem colisão de nome/entrega cruzada;NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-OPE-05-S03;R2-OPE-05;r2-08-operacao-elastica-e-observavel;Falha parcial de provisionamento;Crossplane criou banco mas não políticas/filas;Atlas avalia readiness da célula;"não atribui tráfego até recursos e canário estarem qualificados; retry de reconcile não duplica dono";NAO_EXECUTADO_NESTA_ENTREGA;2.5;3.5
R2-OPE-06-S01;R2-OPE-06;r2-08-operacao-elastica-e-observavel;Reinício com broker fora;DB e projeções recuperáveis estão válidos;Órbita/Cometa reiniciam durante indisponibilidade SNS/SQS;"rotas SYNC e GET elegíveis sobem; fatos ficam recuperáveis sem bloquear servidor HTTP";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-OPE-06-S02;R2-OPE-06;r2-08-operacao-elastica-e-observavel;Redis lenta;latência Redis aumenta acima do orçamento;workload usa cache de metadados opcional;bypass rápido/circuito e cache L1 limitado mantêm o perfil qualificado;NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-OPE-06-S03;R2-OPE-06;r2-08-operacao-elastica-e-observavel;Todas cópias autoritativas indisponíveis;não há writer/quorum válido;chega nova admissão;"Hub informa indisponibilidade sem 202 fictício; preserva repetição pela mesma chave quando voltar";NAO_EXECUTADO_NESTA_ENTREGA;2.6;3.6
R2-OPE-07-S01;R2-OPE-07;r2-08-operacao-elastica-e-observavel;Fluxo rastreável;requisição percorre SYNC ou ASYNC;operador usa protocolo/trace autorizado;correlaciona etapas e logs, visualiza percentis e recebe links de evidência sem dados sensíveis nos labels;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-OPE-07-S02;R2-OPE-07;r2-08-operacao-elastica-e-observavel;Alerta exercitado;outbox envelhece, DLQ recebe item ou SLA vence;condição excede limiar do perfil;alerta aponta componente/runbook e teste registra detecção e recuperação;NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-OPE-07-S03;R2-OPE-07;r2-08-operacao-elastica-e-observavel;Backend de observabilidade fora;Loki/Tempo/Prometheus está temporariamente indisponível;Hub recebe tráfego elegível;"buffer/export limitado não bloqueia thread de negócio; perda de telemetria é sinalizada e não altera ledger/auditoria duráveis";NAO_EXECUTADO_NESTA_ENTREGA;2.7;3.7
R2-OPE-08-S01;R2-OPE-08;r2-08-operacao-elastica-e-observavel;AWS real;workload possui IAM adequado e URLs/ARNs configurados;sobe em ambiente remoto;usa cadeia de identidade autorizada sem credencial local/local nem SetQueueAttributes/CreateQueue;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-OPE-08-S02;R2-OPE-08;r2-08-operacao-elastica-e-observavel;IAM insuficiente;papel não tem permissão para recurso de outra célula;workload tenta acessá-lo;acesso é negado sem política permissiva de fallback;NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-OPE-08-S03;R2-OPE-08;r2-08-operacao-elastica-e-observavel;Atualização de dependência;imagem, runtime ou controller muda de versão;pipeline valida promoção;"registra suporte/licença, lock/digest, scan e ensaios de contrato; referência de versão não vira aprovação automática";NAO_EXECUTADO_NESTA_ENTREGA;2.8;3.8
R2-OPE-09-S01;R2-OPE-09;r2-08-operacao-elastica-e-observavel;Perfil de referência;ensaio usa JSON até 64 KiB e mix/fan-out/carga declarados;mede admissão ASYNC e GET;compara às metas propostas v4: aceite p95≤250 ms/p99≤500 ms, GET p95≤100 ms/p99≤250 ms, registrando resultado sem declarar metas já atingidas;NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-OPE-09-S02;R2-OPE-09;r2-08-operacao-elastica-e-observavel;Manutenção e ruído;cliente B opera dentro da reserva e A excede quota;ocorre rollout e falha de dependência no ensaio;"SLIs incluem as falhas e B mantém limites do perfil; variação p95≤10% é alvo adicional proposto, sujeito a qualificação";NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
R2-OPE-09-S03;R2-OPE-09;r2-08-operacao-elastica-e-observavel;Uso crítico;oferta pode afetar vida/segurança;não há ensaio compatível com interrupção máxima e domínio de falhas;ativação é bloqueada para esse perfil, com contingência e pendências explicitadas;NAO_EXECUTADO_NESTA_ENTREGA;2.9;3.9
