requisito_id;titulo;arquivo;responsavel;prioridade;cenario_id;cenario;resultado_esperado;evidencia_exigida;status;revisao_documental
OPE-06;Observabilidade e runbooks;07_DESEMPENHO_E_OPERACAO.md;SRE / Operações;OBRIGATORIO;CT-OPE-06;Injetar órfão, DLQ, atraso financeiro e entrega esgotada.;Alertas corretos, responsável e runbook resolvem sem nova cobrança.;Alertas, logs/traces e registro de exercício.;NÃO EXECUTADO;REVISADO V4
OPE-07;Amortecimento e controle adaptativo do provedor;07_DESEMPENHO_E_OPERACAO.md;Cometa / SRE;OBRIGATORIO;CT-OPE-07;"Capacidade do provedor cresce e cai; injetar 429/timeouts, escalar Cometa e perder controlador.";"Taxa/concorrência adaptam com estabilidade e limites globais; retries/polls inclusos.";Séries de limite/latência/erro, epochs, concessões e throughput útil.;NÃO EXECUTADO;REVISADO V4
OPE-08;Isolamento de concorrência e células;07_DESEMPENHO_E_OPERACAO.md;Arquitetura / SRE;OBRIGATORIO;CT-OPE-08;"A excede 10x a quota por 15 min; B mantém carga contratada na classe de isolamento escolhida.";"B mantém SLO e reserva; variação p95 dentro da meta qualificada; excesso de A recusado.";Carga por tenant, CPU/DB/rede/filas, topologia e percentis.;NÃO EXECUTADO;REVISADO V4
OPE-09;Orçamento de latência e paralelismo;07_DESEMPENHO_E_OPERACAO.md;Arquitetura / Engenharia;OBRIGATORIO;CT-OPE-09;Comparar SYNC direto e ASYNC com commits, contrato legado e produto paralelo.;"Orçamento mede durabilidade e provedor; SYNC sem espera obrigatória de fila; sem soma indevida de percentis.";Percentis reais, traces por fase e condições de hardware/carga.;NÃO EXECUTADO;REVISADO V4
OPE-10;Aferição de SLA em ambas as relações;07_DESEMPENHO_E_OPERACAO.md;Produto / SRE / Financeiro;OBRIGATORIO;CT-OPE-10;Criar quebra do provedor, quebra interna do hub, abertos no prazo/vencidos e retorno tardio.;"Consulta bilateral correta, denominador sem viés, clocks e evidências vinculados; cliente isolado.";Timeline, exportação de SLA, cohort e autorização de consulta.;NÃO EXECUTADO;REVISADO V4
OPE-11;Preservação de informação e limites da garantia;07_DESEMPENHO_E_OPERACAO.md;Arquitetura / Dados / SRE;OBRIGATORIO;CT-OPE-11;"Falhar processo, broker e uma zona após aceites; reconciliar objetos/eventos/uso e avaliar desastre regional.";"RPO zero comprovado no domínio homologado; compromisso regional sem desenho é bloqueado.";Conjunto de aceites versus fatos recuperados, lacunas e ensaio de DR.;NÃO EXECUTADO;REVISADO V4
OPE-12;Escala automática de ponta a ponta;07_DESEMPENHO_E_OPERACAO.md;Plataforma / Atlas / SRE;OBRIGATORIO;CT-OPE-12;"Crescer clientes/provedores até exigir pods/nós/célula; negar quota e perder controle global externo.";"Escala automática no envelope aprovado; reserva preservada na restrição; limite externo agregado não multiplicado.";Eventos de controladores, tempo de provisionamento, quotas, concessões e intervenções humanas.;NÃO EXECUTADO;NOVO V4
OPE-13;Matriz de dependências e fallback seguro;07_DESEMPENHO_E_OPERACAO.md;Arquitetura / SRE;BLOQUEADOR;CT-OPE-13;Aplicar a matriz de falhas por dependência, isolada e em combinações aprovadas.;"Continuidade apenas com dados/autoridade válidos; sem ack fictício, acesso cruzado ou cascata global evitável.";Relatório por operação/dependência, erros, SLIs, custódia e recuperação.;NÃO EXECUTADO;NOVO V4
OPE-14;Manutenção sem indisponibilidade evitável;07_DESEMPENHO_E_OPERACAO.md;Plataforma / SRE / Engenharia;BLOQUEADOR;CT-OPE-14;Executar manutenção de APIs, Redis, writer e cofre sob carga realista.;"Drenagem/compatibilidade comprovadas, tempo de interrupção medido e comparado ao perfil; nenhuma perda confirmada.";Timeline de mudança, commits, conexões, rollback e métricas do consumidor.;NÃO EXECUTADO;NOVO V4
OPE-15;Criticidade, tolerância a falhas e continuidade operacional;07_DESEMPENHO_E_OPERACAO.md;Produto / Arquitetura / SRE;BLOQUEADOR;CT-OPE-15;Qualificar falhas de zona/região/partição e resposta externa perdida no perfil crítico.;"RPO/RTO e contingência comprovados ou oferta bloqueada; percentual mensal não substitui máximo de interrupção.";Análise de consequências, responsáveis, exercícios e aceite do risco residual.;NÃO EXECUTADO;NOVO V4
QUA-01;Estratégia de engenharia;08_QUALIDADE_E_ACEITE.md;QA / Engenharia;OBRIGATORIO;CT-QUA-01;Revisar requisitos e catálogo de testes da fatia.;"Todos mapeados e riscos críticos cobertos; nenhum resultado presumido.";Matriz revisada por QA.;NÃO EXECUTADO;REVISADO V4
QUA-02;Casos críticos de falha e concorrência;08_QUALIDADE_E_ACEITE.md;QA;OBRIGATORIO;CT-QUA-02;Executar injeções nas fronteiras duráveis e efeitos externos.;Invariantes do conjunto crítico demonstrados sem perda/duplicação indevida.;Relatório individual de cada cenário crítico.;NÃO EXECUTADO;REVISADO V4
QUA-03;Critérios de aceite e evidência;08_QUALIDADE_E_ACEITE.md;QA / responsáveis por domínio;OBRIGATORIO;CT-QUA-03;Revisar evidência incompleta e cenário com cobrança duplicada.;Rejeitar qualificação sem condições e bloquear release com defeito crítico.;Checklist e decisão de gate.;NÃO EXECUTADO;REVISADO V4
QUA-04;Gates e definição de pronto;08_QUALIDADE_E_ACEITE.md;liderança técnica;OBRIGATORIO;CT-QUA-04;Solicitar promoção sem SYNC direto, cold-cache, escala de células ou prova do perfil crítico.;"Gate bloqueia escopo afetado; teste de uma fatia inferior não qualifica oferta crítica.";Checklist de gate com evidências e decisões pendentes vinculadas.;NÃO EXECUTADO;REVISADO V4
QUA-05;Qualificação dos incrementos v3;08_QUALIDADE_E_ACEITE.md;QA / Arquitetura;OBRIGATORIO;CT-QUA-05;Revisar/executar futuramente os casos críticos adicionais da v3.;Cobertura de deadline, pressão, legado, isolamento, admin e preservação sem falso aceite.;"Relatório por cenário com versões e evidências; status não presumido.";NÃO EXECUTADO;REVISADO V4
QUA-06;Qualificação integrada da v4;08_QUALIDADE_E_ACEITE.md;QA / Arquitetura / SRE;BLOQUEADOR;CT-QUA-06;Revisar e executar futuramente a matriz combinada de riscos da v4.;"Modos, credenciais, failover, escala, finanças e isolamento têm evidência; nenhuma aprovação documental substitui ensaio.";Casos, massas, resultados observados, lacunas e relatórios de qualificação.;NÃO EXECUTADO;NOVO V4
DEC-01;Decisões arquiteturais de referência;09_DECISOES_E_REFERENCIAS.md;Arquitetura;OBRIGATORIO;CT-DEC-01;Revisar alteração de tecnologia ou fronteira de dados.;ADR registra motivo, consequência e requalificação antes de adoção.;Registro de decisão arquitetural.;NÃO EXECUTADO;REVISADO V4
DEC-02;Registro de decisões pendentes;09_DECISOES_E_REFERENCIAS.md;liderança técnica;OBRIGATORIO;CT-DEC-02;Tentar ativar oferta crítica sem perfil e expansão sem envelope/quotas definidos.;Pendências P-10/P-11 e demais aplicáveis bloqueiam a oferta/gate, com responsável final.;Registro de decisão e critério de liberação específico.;NÃO EXECUTADO;REVISADO V4
DEC-03;Decisões herdadas da v3 e preservadas;09_DECISOES_E_REFERENCIAS.md;Arquitetura / Produto;OBRIGATORIO;CT-DEC-03;Confrontar v2 e v3 nas regras alteradas e preparar promoção de especificação.;"Comportamentos anteriores divergentes retirados; ADRs e consequências registradas.";Registro de mudança e aprovação por responsáveis.;NÃO EXECUTADO;REVISADO V4
DEC-04;Decisões e compatibilidade introduzidas na v4;09_DECISOES_E_REFERENCIAS.md;Arquitetura;OBRIGATORIO;CT-DEC-04;Confrontar v3/v4 e regras legadas após mudança do transporte SYNC.;ADRs explicam mudança e preservam TTL/SLA, contratos, financeiro e isolamento.;Revisão de compatibilidade e mapa de requisitos.;NÃO EXECUTADO;NOVO V4
DEC-05;Registro de gaps, riscos e mitigação;09_DECISOES_E_REFERENCIAS.md;Arquitetura / liderança técnica;OBRIGATORIO;CT-DEC-05;Tentar encerrar gap crítico apenas com texto ou benchmark parcial.;"Risco residual e limitação arquitetural explícitos; gate só fecha com evidência do perfil afetado.";Registro de gaps com responsável, ação, prova e decisão.;NÃO EXECUTADO;NOVO V4
