cenario;requisito;titulo;change;resultado;evidencia;observacao
R2-OPE-04-S02;R2-OPE-04;Célula próxima do envelope;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-04-S03;R2-OPE-04;Quota esgotada;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-05-S01;R2-OPE-05;Cliente realocado;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-05-S02;R2-OPE-05;Dois ambientes/células;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-05-S03;R2-OPE-05;Falha parcial de provisionamento;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-06-S01;R2-OPE-06;Reinício com broker fora;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-06-S02;R2-OPE-06;Redis lenta;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-06-S03;R2-OPE-06;Todas cópias autoritativas indisponíveis;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-07-S01;R2-OPE-07;Fluxo rastreável;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-07-S02;R2-OPE-07;Alerta exercitado;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-07-S03;R2-OPE-07;Backend de observabilidade fora;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-08-S01;R2-OPE-08;AWS real;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-08-S02;R2-OPE-08;IAM insuficiente;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-08-S03;R2-OPE-08;Atualização de dependência;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-09-S01;R2-OPE-09;Perfil de referência;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-09-S02;R2-OPE-09;Manutenção e ruído;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-OPE-09-S03;R2-OPE-09;Uso crítico;r2-08-operacao-elastica-e-observavel;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-01-S01;R2-QUA-01;Novo requisito implementado;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-01-S02;R2-QUA-01;Evidência incompatível;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-01-S03;R2-QUA-01;Decisão ainda pendente;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-02-S01;R2-QUA-02;Ambiente limpo;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-02-S02;R2-QUA-02;Regressão do eco;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-02-S03;R2-QUA-02;Regressão financeira;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-03-S01;R2-QUA-03;PR de backend;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-03-S02;R2-QUA-03;UI sem backend;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-03-S03;R2-QUA-03;P0 reaberto;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-04-S01;R2-QUA-04;Importação deste pacote;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-04-S02;R2-QUA-04;Mudança R2 concluída;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
R2-QUA-04-S03;R2-QUA-04;Regressão posterior;r2-09-qualificacao-e-rastreabilidade;NAO_EXECUTADO;;Exige verificação de todas as precondições e oráculos
